region,year,matrix,total_prelevements,non_conformes_france,non_conformes_danemark,non_conformes_usa,pourcentage_france,pourcentage_danemark,pourcentage_usa
Occitanie,2023,Groundwater,97,0,0,0,0,0,0
Occitanie,2023,Sediment,2,0,0,0,0,0,0
Occitanie,2023,Surface water,292,0,203,143,0,69.52054794520548,48.97260273972603
Occitanie,2024,Biota,2,0,0,0,0,0,0
Occitanie,2024,Drinking water,46,0,22,8,0,47.82608695652174,17.391304347826086
Occitanie,2024,Groundwater,82,0,0,0,0,0,0
Occitanie,2024,Surface water,9,0,0,0,0,0,0
Pays de la Loire,2006,Surface water,4,0,0,0,0,0,0
Pays de la Loire,2009,Surface water,18,0,17,16,0,94.44444444444444,88.88888888888889
Pays de la Loire,2010,Surface water,3,0,1,2,0,33.33333333333333,66.66666666666666
Pays de la Loire,2011,Groundwater,21,0,0,0,0,0,0
Pays de la Loire,2015,Drinking water,1,0,0,0,0,0,0
Pays de la Loire,2015,Surface water,5,0,5,5,0,100,100
Pays de la Loire,2016,Sediment,6,0,0,0,0,0,0
Pays de la Loire,2017,Groundwater,34,0,0,0,0,0,0
Pays de la Loire,2017,Sediment,10,0,0,0,0,0,0
